run_id,episode,episode_reward,avg_reward_20ep,avg_loss,epsilon,action_off,action_cool,action_heat,lr,gamma,epsilon_decay,batch_size,buffer_capacity
a39e8264f59c44bdb9cee0d82cafd053,170,-251.8525,-205.1045,102.6162,0.4265,7,14,3,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,171,-412.9374,-221.6808,102.4792,0.4244,3,15,6,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,172,-305.746,-204.0096,99.9204,0.4223,4,15,5,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,173,-215.2907,-195.2623,104.8084,0.4201,5,16,3,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,174,-24.7721,-184.1518,104.2942,0.418,6,16,2,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,175,-607.1915,-210.8672,106.859,0.4159,5,13,6,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,176,-85.003,-205.1139,119.2729,0.4139,2,17,5,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,177,-41.5158,-175.7244,106.8255,0.4118,5,17,2,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,178,-112.1069,-179.3105,127.0564,0.4097,3,18,3,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,179,-8.7735,-168.8277,91.7292,0.4077,2,19,3,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,180,-587.9146,-187.3082,116.3209,0.4057,3,14,7,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,181,-80.1653,-188.9308,89.0485,0.4036,2,17,5,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,182,-97.5147,-192.1822,99.0972,0.4016,3,18,3,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,183,-7.0596,-169.2147,109.2333,0.3996,2,19,3,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,184,-42.7113,-163.7428,97.6543,0.3976,3,17,4,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,185,-29.14,-159.1209,113.5329,0.3956,3,18,3,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,186,-7.0634,-157.063,117.5022,0.3936,2,20,2,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,187,-205.6728,-156.555,106.2117,0.3917,7,14,3,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,188,-154.6,-157.6352,108.2328,0.3897,4,17,3,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,189,-65.5991,-160.0433,93.3303,0.3878,3,17,4,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,190,-149.6571,-166.2994,82.2073,0.3858,4,16,4,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,191,-375.4345,-172.1842,99.8142,0.3839,6,13,5,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,192,-223.1922,-163.1488,100.9268,0.382,8,13,3,0.001,0.99,0.995,64,10000
